! AWR Design Environment (17603) Mon Mar 18 17:37:55 2024
! Document = 'RLC Resonator TLIN'
! nPorts: 2, nXvals: 8001

# GHz S DB R 50
!Freq DBS11 AngS11 DBS21 AngS21 DBS12 AngS12 DBS22 AngS22 
4.222 -331.39506 90 0 -75.996 -9.6432747e-16 -75.996 -319.0918 14.004 
4.224 -309.81008 13.968 9.6432747e-16 -76.032 9.6432747e-16 -76.032 -309.28608 14.036243 
4.226 -319.35115 13.932 9.6432747e-16 -76.068 9.6432747e-16 -76.068 -315.30668 14.036243 
4.228 -325.3704 -90 0 -76.104 0 -76.104 -800 0 
4.23 -800 0 9.6432747e-16 -76.14 0 -76.14 -319.0918 -166.14 
4.232 -307.04261 -165.96376 -9.6432747e-16 -76.176 9.6432747e-16 -76.176 -307.0506 -166.176 
4.234 -313.06187 -165.96376 0 -76.212 0 -76.212 -313.0712 -166.212 
4.236 -325.36503 90 -4.8216373e-16 -76.248 -4.8216373e-16 -76.248 -800 0 
4.238 -313.25516 20.841016 0 -76.284 0 -76.284 -312.92114 10.619655 
4.24 -331.38296 90 -4.8216373e-16 -76.32 -9.6432747e-16 -76.32 -319.0918 13.68 
4.242 -331.38163 -76.356 0 -76.356 9.6432747e-16 -76.356 -315.1124 18.434949 
4.244 -313.25118 -172.87498 9.6432747e-16 -76.392 0 -76.392 -319.0918 -166.392 
4.246 -313.24986 -172.87498 -4.8216373e-16 -76.428 -4.8216373e-16 -76.428 -800 0 
4.248 -313.31588 180 9.6432747e-16 -76.464 -4.8216373e-16 -76.464 -319.0918 -166.464 
4.25 -307.14391 -169.38034 9.6432747e-16 -76.5 -4.8216373e-16 -76.5 -309.54937 -166.5 
4.252 -313.04997 -165.96376 0 -76.536 0 -76.536 -313.0712 -166.536 
4.254 -306.71992 -159.44395 9.6432747e-16 -76.572 9.6432747e-16 -76.572 -305.1124 -166.572 
4.256 -307.13999 -169.38034 0 -76.608 0 -76.608 -307.0506 -166.608 
4.258 -309.75747 18.119642 0 -76.644 0 -76.644 -310.86971 14.036243 
4.26 -800 0 0 -76.68 0 -76.68 -800 0 
4.262 -325.34797 -90 -4.8216373e-16 -76.716 -1.4464912e-15 -76.716 -319.0918 13.284 
4.264 -312.73405 -159.44395 9.6432747e-16 -76.752 9.6432747e-16 -76.752 -309.54937 -166.752 
4.266 -306.71217 -159.44395 9.6432747e-16 -76.788 9.6432747e-16 -76.788 -305.1124 -166.788 
4.268 -307.01903 -165.96376 0 -76.824 0 -76.824 -307.0506 -166.824 
4.27 -331.36344 90 0 -76.86 0 -76.86 -800 0 
4.272 -307.26284 9.5276656 0 -76.896 0 -76.896 -306.8476 12.339087 
4.274 -319.3197 13.068 9.6432747e-16 -76.932 9.6432747e-16 -76.932 -318.52037 20.556045 
4.276 -313.03455 -165.96376 -4.8216373e-16 -76.968 -4.8216373e-16 -76.968 -313.0712 -166.968 
4.278 -313.22924 7.1250163 0 -77.004 9.6432747e-16 -77.004 -319.0918 12.996 
4.28 -303.6339 -170.53768 0 -77.04 -9.6432747e-16 -77.04 -303.52877 -167.04 
4.282 -309.77224 12.924 0 -77.076 9.6432747e-16 -77.076 -307.94715 14.036243 
4.284 -307.00893 -165.96376 9.6432747e-16 -77.112 -4.8216373e-16 -77.112 -309.54937 -167.112 
4.286 -313.02828 -165.96376 9.6432747e-16 -77.148 9.6432747e-16 -77.148 -309.54937 -167.148 
4.288 -307.26972 12.816 -4.8216373e-16 -77.184 0 -77.184 -305.76426 14.036243 
4.29 -325.33028 -90 9.6432747e-16 -77.22 0 -77.22 -800 0 
4.292 -307.25032 9.1676656 0 -77.256 0 -77.256 -306.78731 14.036243 
4.294 -306.69459 -159.44395 9.6432747e-16 -77.292 9.6432747e-16 -77.292 -305.1124 -167.292 
4.296 -313.21805 -172.87498 -4.8216373e-16 -77.328 -4.8216373e-16 -77.328 -313.0712 -167.328 
4.298 -307.1135 -169.38034 9.6432747e-16 -77.364 9.6432747e-16 -77.364 -305.1124 -167.364 
