! AWR Design Environment (17603) Wed Feb 28 12:28:39 2024
! Document = 'Ideal Resonator'
! nPorts: 2, nXvals: 8751

# GHz S DB R 50
!Freq DBS11 AngS11 DBS21 AngS21 DBS12 AngS12 DBS22 AngS22 
1.0896 -0.16677048 -27.298106 -14.792939 63.35223 -14.792939 63.35223 -0.16677048 -27.298106 
1.0904 -0.16693023 -27.320793 -14.790407 63.331949 -14.790407 63.331949 -0.16693023 -27.320793 
1.0912 -0.1670899 -27.34349 -14.787886 63.311668 -14.787886 63.311668 -0.1670899 -27.34349 
1.092 -0.16724947 -27.366197 -14.785377 63.291385 -14.785377 63.291385 -0.16724947 -27.366197 
1.0928 -0.16740896 -27.388913 -14.782879 63.271102 -14.782879 63.271102 -0.16740896 -27.388913 
1.0936 -0.16756835 -27.411638 -14.780393 63.250819 -14.780393 63.250819 -0.16756835 -27.411638 
1.0944 -0.16772766 -27.434373 -14.777919 63.230534 -14.777919 63.230534 -0.16772766 -27.434373 
1.0952 -0.16788688 -27.457118 -14.775457 63.210249 -14.775457 63.210249 -0.16788688 -27.457118 
1.096 -0.16804601 -27.479871 -14.773006 63.189963 -14.773006 63.189963 -0.16804601 -27.479871 
1.0968 -0.16820504 -27.502635 -14.770568 63.169677 -14.770568 63.169677 -0.16820504 -27.502635 
1.0976 -0.16836399 -27.525408 -14.76814 63.149389 -14.76814 63.149389 -0.16836399 -27.525408 
1.0984 -0.16852285 -27.548191 -14.765725 63.129102 -14.765725 63.129102 -0.16852285 -27.548191 
1.0992 -0.16868163 -27.570983 -14.763322 63.108813 -14.763322 63.108813 -0.16868163 -27.570983 
1.1 -0.16884031 -27.593785 -14.76093 63.088524 -14.76093 63.088524 -0.16884031 -27.593785 
1.1008 -0.1689989 -27.616597 -14.75855 63.068235 -14.75855 63.068235 -0.1689989 -27.616597 
1.1016 -0.1691574 -27.639419 -14.756182 63.047944 -14.756182 63.047944 -0.1691574 -27.639419 
1.1024 -0.16931581 -27.66225 -14.753825 63.027654 -14.753825 63.027654 -0.16931581 -27.66225 
1.1032 -0.16947413 -27.685091 -14.751481 63.007362 -14.751481 63.007362 -0.16947413 -27.685091 
1.104 -0.16963236 -27.707942 -14.749148 62.98707 -14.749148 62.98707 -0.16963236 -27.707942 
1.1048 -0.1697905 -27.730802 -14.746827 62.966778 -14.746827 62.966778 -0.1697905 -27.730802 
1.1056 -0.16994855 -27.753673 -14.744518 62.946485 -14.744518 62.946485 -0.16994855 -27.753673 
1.1064 -0.1701065 -27.776553 -14.742221 62.926192 -14.742221 62.926192 -0.1701065 -27.776553 
1.1072 -0.17026437 -27.799443 -14.739936 62.905898 -14.739936 62.905898 -0.17026437 -27.799443 
1.108 -0.17042215 -27.822343 -14.737663 62.885603 -14.737663 62.885603 -0.17042215 -27.822343 
1.1088 -0.17057983 -27.845254 -14.735401 62.865308 -14.735401 62.865308 -0.17057983 -27.845254 
1.1096 -0.17073742 -27.868174 -14.733152 62.845013 -14.733152 62.845013 -0.17073742 -27.868174 
1.1104 -0.17089492 -27.891104 -14.730914 62.824717 -14.730914 62.824717 -0.17089492 -27.891104 
1.1112 -0.17105234 -27.914044 -14.728689 62.804421 -14.728689 62.804421 -0.17105234 -27.914044 
1.112 -0.17120965 -27.936994 -14.726475 62.784124 -14.726475 62.784124 -0.17120965 -27.936994 
1.1128 -0.17136688 -27.959954 -14.724274 62.763827 -14.724274 62.763827 -0.17136688 -27.959954 
1.1136 -0.17152402 -27.982924 -14.722084 62.74353 -14.722084 62.74353 -0.17152402 -27.982924 
1.1144 -0.17168106 -28.005905 -14.719907 62.723232 -14.719907 62.723232 -0.17168106 -28.005905 
1.1152 -0.17183801 -28.028895 -14.717741 62.702934 -14.717741 62.702934 -0.17183801 -28.028895 
1.116 -0.17199488 -28.051896 -14.715588 62.682636 -14.715588 62.682636 -0.17199488 -28.051896 
1.1168 -0.17215164 -28.074907 -14.713446 62.662337 -14.713446 62.662337 -0.17215164 -28.074907 
1.1176 -0.17230832 -28.097929 -14.711317 62.642038 -14.711317 62.642038 -0.17230832 -28.097929 
1.1184 -0.1724649 -28.12096 -14.7092 62.621739 -14.7092 62.621739 -0.1724649 -28.12096 
1.1192 -0.1726214 -28.144002 -14.707094 62.601439 -14.707094 62.601439 -0.1726214 -28.144002 
1.12 -0.1727778 -28.167054 -14.705001 62.581139 -14.705001 62.581139 -0.1727778 -28.167054 
1.1208 -0.1729341 -28.190116 -14.70292 62.560839 -14.70292 62.560839 -0.1729341 -28.190116 
1.1216 -0.17309032 -28.213189 -14.700852 62.540539 -14.700852 62.540539 -0.17309032 -28.213189 
1.1224 -0.17324644 -28.236272 -14.698795 62.520238 -14.698795 62.520238 -0.17324644 -28.236272 
1.1232 -0.17340247 -28.259366 -14.69675 62.499937 -14.69675 62.499937 -0.17340247 -28.259366 
1.124 -0.17355841 -28.28247 -14.694718 62.479636 -14.694718 62.479636 -0.17355841 -28.28247 
1.1248 -0.17371426 -28.305585 -14.692698 62.459335 -14.692698 62.459335 -0.17371426 -28.305585 
