! AWR Design Environment (17603) Fri Jul 12 14:53:36 2024
! Document = 'RLC Resonator TLIN'
! nPorts: 2, nXvals: 10001

# GHz S DB R 50
!Freq DBS11 AngS11 DBS21 AngS21 DBS12 AngS12 DBS22 AngS22 
5.7608498 -21.979696 161.73308 -0.027678389 -108.26195 -0.027678389 -108.26195 -21.979696 161.73308 
5.7608504 -21.97797 161.73216 -0.027689426 -108.26287 -0.027689426 -108.26287 -21.97797 161.73216 
5.760851 -21.976244 161.73124 -0.027700469 -108.26379 -0.027700469 -108.26379 -21.976244 161.73124 
5.7608516 -21.974518 161.73032 -0.027711519 -108.26471 -0.027711519 -108.26471 -21.974518 161.73032 
5.7608522 -21.972791 161.72939 -0.027722576 -108.26563 -0.027722576 -108.26563 -21.972791 161.72939 
5.7608528 -21.971064 161.72847 -0.02773364 -108.26655 -0.02773364 -108.26655 -21.971064 161.72847 
5.7608534 -21.969337 161.72755 -0.027744711 -108.26747 -0.027744711 -108.26747 -21.969337 161.72755 
5.760854 -21.967609 161.72662 -0.027755788 -108.2684 -0.027755788 -108.2684 -21.967609 161.72662 
5.7608546 -21.965881 161.7257 -0.027766873 -108.26932 -0.027766873 -108.26932 -21.965881 161.7257 
5.7608552 -21.964152 161.72478 -0.027777964 -108.27024 -0.027777964 -108.27024 -21.964152 161.72478 
5.7608558 -21.962423 161.72385 -0.027789063 -108.27116 -0.027789063 -108.27116 -21.962423 161.72385 
5.7608564 -21.960693 161.72293 -0.027800168 -108.27209 -0.027800168 -108.27209 -21.960693 161.72293 
5.760857 -21.958964 161.722 -0.02781128 -108.27301 -0.02781128 -108.27301 -21.958964 161.722 
5.7608576 -21.957233 161.72107 -0.027822399 -108.27394 -0.027822399 -108.27394 -21.957233 161.72107 
5.7608582 -21.955503 161.72015 -0.027833525 -108.27486 -0.027833525 -108.27486 -21.955503 161.72015 
5.7608588 -21.953772 161.71922 -0.027844658 -108.27579 -0.027844658 -108.27579 -21.953772 161.71922 
5.7608594 -21.95204 161.7183 -0.027855798 -108.27671 -0.027855798 -108.27671 -21.95204 161.7183 
5.76086 -21.950309 161.71737 -0.027866944 -108.27764 -0.027866944 -108.27764 -21.950309 161.71737 
5.7608606 -21.948577 161.71644 -0.027878098 -108.27857 -0.027878098 -108.27857 -21.948577 161.71644 
5.7608612 -21.946844 161.71551 -0.027889259 -108.27949 -0.027889259 -108.27949 -21.946844 161.71551 
5.7608618 -21.945111 161.71458 -0.027900426 -108.28042 -0.027900426 -108.28042 -21.945111 161.71458 
5.7608624 -21.943378 161.71365 -0.027911601 -108.28135 -0.027911601 -108.28135 -21.943378 161.71365 
5.760863 -21.941644 161.71273 -0.027922782 -108.28228 -0.027922782 -108.28228 -21.941644 161.71273 
5.7608636 -21.93991 161.7118 -0.027933971 -108.28321 -0.027933971 -108.28321 -21.93991 161.7118 
5.7608642 -21.938176 161.71087 -0.027945166 -108.28413 -0.027945166 -108.28413 -21.938176 161.71087 
5.7608648 -21.936441 161.70994 -0.027956369 -108.28506 -0.027956369 -108.28506 -21.936441 161.70994 
5.7608654 -21.934706 161.709 -0.027967578 -108.28599 -0.027967578 -108.28599 -21.934706 161.709 
5.760866 -21.93297 161.70807 -0.027978795 -108.28692 -0.027978795 -108.28692 -21.93297 161.70807 
5.7608666 -21.931234 161.70714 -0.027990018 -108.28785 -0.027990018 -108.28785 -21.931234 161.70714 
5.7608672 -21.929498 161.70621 -0.028001249 -108.28878 -0.028001249 -108.28878 -21.929498 161.70621 
5.7608678 -21.927761 161.70528 -0.028012486 -108.28972 -0.028012486 -108.28972 -21.927761 161.70528 
5.7608684 -21.926024 161.70434 -0.028023731 -108.29065 -0.028023731 -108.29065 -21.926024 161.70434 
5.760869 -21.924287 161.70341 -0.028034983 -108.29158 -0.028034983 -108.29158 -21.924287 161.70341 
5.7608696 -21.922549 161.70248 -0.028046241 -108.29251 -0.028046241 -108.29251 -21.922549 161.70248 
5.7608702 -21.92081 161.70154 -0.028057507 -108.29344 -0.028057507 -108.29344 -21.92081 161.70154 
5.7608708 -21.919072 161.70061 -0.028068779 -108.29438 -0.028068779 -108.29438 -21.919072 161.70061 
5.7608714 -21.917333 161.69967 -0.028080059 -108.29531 -0.028080059 -108.29531 -21.917333 161.69967 
5.760872 -21.915593 161.69874 -0.028091346 -108.29625 -0.028091346 -108.29625 -21.915593 161.69874 
5.7608726 -21.913853 161.6978 -0.02810264 -108.29718 -0.02810264 -108.29718 -21.913853 161.6978 
5.7608732 -21.912113 161.69687 -0.028113941 -108.29811 -0.028113941 -108.29811 -21.912113 161.69687 
5.7608738 -21.910373 161.69593 -0.028125249 -108.29905 -0.028125249 -108.29905 -21.910373 161.69593 
5.7608744 -21.908632 161.69499 -0.028136564 -108.29999 -0.028136564 -108.29999 -21.908632 161.69499 
5.760875 -21.90689 161.69406 -0.028147886 -108.30092 -0.028147886 -108.30092 -21.90689 161.69406 
5.7608756 -21.905149 161.69312 -0.028159215 -108.30186 -0.028159215 -108.30186 -21.905149 161.69312 
5.7608762 -21.903406 161.69218 -0.028170552 -108.30279 -0.028170552 -108.30279 -21.903406 161.69218 
5.7608768 -21.901664 161.69124 -0.028181895 -108.30373 -0.028181895 -108.30373 -21.901664 161.69124 
5.7608774 -21.899921 161.69031 -0.028193246 -108.30467 -0.028193246 -108.30467 -21.899921 161.69031 
5.760878 -21.898178 161.68937 -0.028204603 -108.30561 -0.028204603 -108.30561 -21.898178 161.68937 
5.7608786 -21.896434 161.68843 -0.028215968 -108.30655 -0.028215968 -108.30655 -21.896434 161.68843 
5.7608792 -21.89469 161.68749 -0.02822734 -108.30748 -0.02822734 -108.30748 -21.89469 161.68749 
5.7608798 -21.892945 161.68655 -0.028238719 -108.30842 -0.028238719 -108.30842 -21.892945 161.68655 
5.7608804 -21.8912 161.68561 -0.028250106 -108.30936 -0.028250106 -108.30936 -21.8912 161.68561 
5.760881 -21.889455 161.68467 -0.028261499 -108.3103 -0.028261499 -108.3103 -21.889455 161.68467 
5.7608816 -21.88771 161.68372 -0.028272899 -108.31124 -0.028272899 -108.31124 -21.88771 161.68372 
5.7608822 -21.885964 161.68278 -0.028284307 -108.31218 -0.028284307 -108.31218 -21.885964 161.68278 
5.7608828 -21.884217 161.68184 -0.028295722 -108.31312 -0.028295722 -108.31312 -21.884217 161.68184 
5.7608834 -21.88247 161.6809 -0.028307144 -108.31407 -0.028307144 -108.31407 -21.88247 161.6809 
5.760884 -21.880723 161.67995 -0.028318573 -108.31501 -0.028318573 -108.31501 -21.880723 161.67995 
5.7608846 -21.878975 161.67901 -0.02833001 -108.31595 -0.02833001 -108.31595 -21.878975 161.67901 
5.7608852 -21.877227 161.67807 -0.028341453 -108.31689 -0.028341453 -108.31689 -21.877227 161.67807 
5.7608858 -21.875479 161.67712 -0.028352904 -108.31784 -0.028352904 -108.31784 -21.875479 161.67712 
5.7608864 -21.87373 161.67618 -0.028364362 -108.31878 -0.028364362 -108.31878 -21.87373 161.67618 
5.760887 -21.871981 161.67523 -0.028375827 -108.31972 -0.028375827 -108.31972 -21.871981 161.67523 
5.7608876 -21.870232 161.67429 -0.0283873 -108.32067 -0.0283873 -108.32067 -21.870232 161.67429 
5.7608882 -21.868482 161.67334 -0.028398779 -108.32161 -0.028398779 -108.32161 -21.868482 161.67334 
5.7608888 -21.866731 161.6724 -0.028410266 -108.32256 -0.028410266 -108.32256 -21.866731 161.6724 
5.7608894 -21.864981 161.67145 -0.02842176 -108.3235 -0.02842176 -108.3235 -21.864981 161.67145 
5.76089 -21.86323 161.6705 -0.028433261 -108.32445 -0.028433261 -108.32445 -21.86323 161.6705 
5.7608906 -21.861478 161.66955 -0.02844477 -108.3254 -0.02844477 -108.3254 -21.861478 161.66955 
5.7608912 -21.859726 161.66861 -0.028456286 -108.32634 -0.028456286 -108.32634 -21.859726 161.66861 
5.7608918 -21.857974 161.66766 -0.028467809 -108.32729 -0.028467809 -108.32729 -21.857974 161.66766 
5.7608924 -21.856221 161.66671 -0.028479339 -108.32824 -0.028479339 -108.32824 -21.856221 161.66671 
5.760893 -21.854468 161.66576 -0.028490877 -108.32918 -0.028490877 -108.32918 -21.854468 161.66576 
5.7608936 -21.852715 161.66481 -0.028502422 -108.33013 -0.028502422 -108.33013 -21.852715 161.66481 
5.7608942 -21.850961 161.66386 -0.028513974 -108.33108 -0.028513974 -108.33108 -21.850961 161.66386 
5.7608948 -21.849206 161.66291 -0.028525533 -108.33203 -0.028525533 -108.33203 -21.849206 161.66291 
5.7608954 -21.847452 161.66196 -0.0285371 -108.33298 -0.0285371 -108.33298 -21.847452 161.66196 
5.760896 -21.845697 161.66101 -0.028548674 -108.33393 -0.028548674 -108.33393 -21.845697 161.66101 
5.7608966 -21.843941 161.66006 -0.028560256 -108.33488 -0.028560256 -108.33488 -21.843941 161.66006 
5.7608972 -21.842185 161.65911 -0.028571844 -108.33583 -0.028571844 -108.33583 -21.842185 161.65911 
5.7608978 -21.840429 161.65815 -0.02858344 -108.33678 -0.02858344 -108.33678 -21.840429 161.65815 
5.7608984 -21.838673 161.6572 -0.028595043 -108.33773 -0.028595043 -108.33773 -21.838673 161.6572 
5.760899 -21.836916 161.65625 -0.028606654 -108.33868 -0.028606654 -108.33868 -21.836916 161.65625 
5.7608996 -21.835158 161.6553 -0.028618272 -108.33964 -0.028618272 -108.33964 -21.835158 161.6553 
5.7609002 -21.8334 161.65434 -0.028629897 -108.34059 -0.028629897 -108.34059 -21.8334 161.65434 
5.7609008 -21.831642 161.65339 -0.02864153 -108.34154 -0.02864153 -108.34154 -21.831642 161.65339 
5.7609014 -21.829884 161.65243 -0.02865317 -108.3425 -0.02865317 -108.3425 -21.829884 161.65243 
5.760902 -21.828125 161.65148 -0.028664818 -108.34345 -0.028664818 -108.34345 -21.828125 161.65148 
5.7609026 -21.826365 161.65052 -0.028676472 -108.3444 -0.028676472 -108.3444 -21.826365 161.65052 
5.7609032 -21.824605 161.64957 -0.028688134 -108.34536 -0.028688134 -108.34536 -21.824605 161.64957 
5.7609038 -21.822845 161.64861 -0.028699804 -108.34631 -0.028699804 -108.34631 -21.822845 161.64861 
5.7609044 -21.821085 161.64765 -0.028711481 -108.34727 -0.028711481 -108.34727 -21.821085 161.64765 
5.760905 -21.819324 161.6467 -0.028723165 -108.34823 -0.028723165 -108.34823 -21.819324 161.6467 
5.7609056 -21.817562 161.64574 -0.028734857 -108.34918 -0.028734857 -108.34918 -21.817562 161.64574 
5.7609062 -21.815801 161.64478 -0.028746556 -108.35014 -0.028746556 -108.35014 -21.815801 161.64478 
5.7609068 -21.814038 161.64382 -0.028758262 -108.3511 -0.028758262 -108.3511 -21.814038 161.64382 
5.7609074 -21.812276 161.64286 -0.028769976 -108.35205 -0.028769976 -108.35205 -21.812276 161.64286 
5.760908 -21.810513 161.64191 -0.028781698 -108.35301 -0.028781698 -108.35301 -21.810513 161.64191 
5.7609086 -21.80875 161.64095 -0.028793427 -108.35397 -0.028793427 -108.35397 -21.80875 161.64095 
5.7609092 -21.806986 161.63999 -0.028805163 -108.35493 -0.028805163 -108.35493 -21.806986 161.63999 
5.7609098 -21.805222 161.63903 -0.028816906 -108.35589 -0.028816906 -108.35589 -21.805222 161.63903 
5.7609104 -21.803457 161.63806 -0.028828658 -108.35685 -0.028828658 -108.35685 -21.803457 161.63806 
5.760911 -21.801692 161.6371 -0.028840416 -108.35781 -0.028840416 -108.35781 -21.801692 161.6371 
5.7609116 -21.799927 161.63614 -0.028852182 -108.35877 -0.028852182 -108.35877 -21.799927 161.63614 
5.7609122 -21.798161 161.63518 -0.028863956 -108.35973 -0.028863956 -108.35973 -21.798161 161.63518 
5.7609128 -21.796395 161.63422 -0.028875737 -108.36069 -0.028875737 -108.36069 -21.796395 161.63422 
5.7609134 -21.794629 161.63325 -0.028887525 -108.36165 -0.028887525 -108.36165 -21.794629 161.63325 
5.760914 -21.792862 161.63229 -0.028899321 -108.36261 -0.028899321 -108.36261 -21.792862 161.63229 
5.7609146 -21.791094 161.63133 -0.028911125 -108.36358 -0.028911125 -108.36358 -21.791094 161.63133 
5.7609152 -21.789327 161.63036 -0.028922936 -108.36454 -0.028922936 -108.36454 -21.789327 161.63036 
5.7609158 -21.787558 161.6294 -0.028934754 -108.3655 -0.028934754 -108.3655 -21.787558 161.6294 
5.7609164 -21.78579 161.62843 -0.02894658 -108.36647 -0.02894658 -108.36647 -21.78579 161.62843 
5.760917 -21.784021 161.62747 -0.028958414 -108.36743 -0.028958414 -108.36743 -21.784021 161.62747 
5.7609176 -21.782252 161.6265 -0.028970255 -108.36839 -0.028970255 -108.36839 -21.782252 161.6265 
5.7609182 -21.780482 161.62554 -0.028982103 -108.36936 -0.028982103 -108.36936 -21.780482 161.62554 
5.7609188 -21.778712 161.62457 -0.028993959 -108.37032 -0.028993959 -108.37032 -21.778712 161.62457 
5.7609194 -21.776941 161.6236 -0.029005823 -108.37129 -0.029005823 -108.37129 -21.776941 161.6236 
5.76092 -21.77517 161.62264 -0.029017694 -108.37226 -0.029017694 -108.37226 -21.77517 161.62264 
5.7609206 -21.773399 161.62167 -0.029029573 -108.37322 -0.029029573 -108.37322 -21.773399 161.62167 
5.7609212 -21.771627 161.6207 -0.029041459 -108.37419 -0.029041459 -108.37419 -21.771627 161.6207 
5.7609218 -21.769855 161.61973 -0.029053353 -108.37516 -0.029053353 -108.37516 -21.769855 161.61973 
5.7609224 -21.768083 161.61876 -0.029065255 -108.37612 -0.029065255 -108.37612 -21.768083 161.61876 
5.760923 -21.76631 161.61779 -0.029077164 -108.37709 -0.029077164 -108.37709 -21.76631 161.61779 
5.7609236 -21.764537 161.61682 -0.02908908 -108.37806 -0.02908908 -108.37806 -21.764537 161.61682 
5.7609242 -21.762763 161.61585 -0.029101005 -108.37903 -0.029101005 -108.37903 -21.762763 161.61585 
5.7609248 -21.760989 161.61488 -0.029112937 -108.38 -0.029112937 -108.38 -21.760989 161.61488 
5.7609254 -21.759214 161.61391 -0.029124876 -108.38097 -0.029124876 -108.38097 -21.759214 161.61391 
5.760926 -21.757439 161.61294 -0.029136823 -108.38194 -0.029136823 -108.38194 -21.757439 161.61294 
5.7609266 -21.755664 161.61197 -0.029148778 -108.38291 -0.029148778 -108.38291 -21.755664 161.61197 
5.7609272 -21.753888 161.611 -0.02916074 -108.38388 -0.02916074 -108.38388 -21.753888 161.611 
5.7609278 -21.752112 161.61002 -0.02917271 -108.38485 -0.02917271 -108.38485 -21.752112 161.61002 
5.7609284 -21.750335 161.60905 -0.029184688 -108.38583 -0.029184688 -108.38583 -21.750335 161.60905 
5.760929 -21.748559 161.60808 -0.029196673 -108.3868 -0.029196673 -108.3868 -21.748559 161.60808 
5.7609296 -21.746781 161.6071 -0.029208666 -108.38777 -0.029208666 -108.38777 -21.746781 161.6071 
5.7609302 -21.745003 161.60613 -0.029220667 -108.38874 -0.029220667 -108.38874 -21.745003 161.60613 
5.7609308 -21.743225 161.60516 -0.029232675 -108.38972 -0.029232675 -108.38972 -21.743225 161.60516 
5.7609314 -21.741447 161.60418 -0.029244691 -108.39069 -0.029244691 -108.39069 -21.741447 161.60418 
5.760932 -21.739668 161.6032 -0.029256715 -108.39167 -0.029256715 -108.39167 -21.739668 161.6032 
5.7609326 -21.737888 161.60223 -0.029268746 -108.39264 -0.029268746 -108.39264 -21.737888 161.60223 
